Fiscal Year Released,Recidivism Reporting Year,Race-Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Main Supervising District,Release Type,Release type: Paroled to Detainder united,Part of Target Population,Recidivated,Years_till_recidivating
2019.0,2021.0,African-Kalenjin,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,45-54,Aggravated Misdemeanor,Public Order,Being in posession of alcoholic drinks,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Public Order,Escape from lawful custody,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,35-44,D Felony,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,Under 25,D Felony,Public Order,Preparation to commit a felony,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,Under 25,Aggravated Misdemeanor,Public Order,Being drunk and disorderly,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,25-34,D Felony,Public Order,Preparation to commit a felony,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,25-34,D Felony,Property,Vandalism,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Luo,25-34,Aggravated Misdemeanor,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Giriama,35-44,Aggravated Misdemeanor,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Giriama,35-44,Aggravated Misdemeanor,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,35-44,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,Aggravated Misdemeanor,Public Order,Driving a motor vehicle without PSV licence,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,25-34,D Felony,Public Order,Preparation to commit a felony,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,Felony - Enhanced,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Kkuyu,25-34,D Felony,Public Order,Trafficking in narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,45-54,D Felony,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,35-44,D Felony,Violent,Grievious harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,25-34,D Felony,Public Order,Preparation to commit a felony,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,C Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2021.0,African-Luo,25-34,Aggravated Misdemeanor,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2021.0,African-Kalenjin,25-34,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Swahili,45-54,D Felony,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Giriama,55 and Older,Aggravated Misdemeanor,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Swahili,Under 25,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,35-44,D Felony,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Luo,25-34,Aggravated Misdemeanor,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Swahili,35-44,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,35-44,Felony - Enhanced,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,45-54,D Felony,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Luo,25-34,Aggravated Misdemeanor,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2021.0,African-Kalenjin,Under 25,D Felony,Public Order,Preparation to commit a felony,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Kkuyu,25-34,D Felony,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2021.0,African-Luo,Under 25,D Felony,Property,Vandalism,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2021.0,African-Kalenjin,Under 25,D Felony,Public Order,Preparation to commit a felony,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Swahili,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Swahili,45-54,Aggravated Misdemeanor,Public Order,Being in posession of alcoholic drinks,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,45-54,Aggravated Misdemeanor,Public Order,Being in posession of alcoholic drinks,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2021.0,African-Kalenjin,25-34,Aggravated Misdemeanor,Public Order,Causing obstruction,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2021.0,African-Kalenjin,25-34,Aggravated Misdemeanor,Public Order,Causing obstruction,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,C Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Meru,35-44,Felony - Enhanced,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,25-34,B Felony,Violent,Grievious harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,Aggravated Misdemeanor,Public Order,Being in posession of alcoholic drinks,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,25-34,D Felony,Property,Vandalism,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Luo,25-34,Aggravated Misdemeanor,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Public Order,Escape from lawful custody,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,35-44,Aggravated Misdemeanor,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,35-44,Aggravated Misdemeanor,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,45-54,Aggravated Misdemeanor,Public Order,Being in posession of alcoholic drinks,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,35-44,C Felony,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,45-54,Aggravated Misdemeanor,Public Order,Being in posession of alcoholic drinks,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,35-44,D Felony,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Giriama,35-44,Aggravated Misdemeanor,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,Under 25,D Felony,Public Order,Preparation to commit a felony,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,35-44,Aggravated Misdemeanor,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Giriama,55 and Older,Aggravated Misdemeanor,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,25-34,D Felony,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,Aggravated Misdemeanor,Public Order,Being in posession of alcoholic drinks,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,35-44,Aggravated Misdemeanor,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Public Order,Escape from lawful custody,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,Aggravated Misdemeanor,Public Order,Causing obstruction,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,45-54,Aggravated Misdemeanor,Public Order,Driving a motor vehicle without PSV licence,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,Under 25,D Felony,Public Order,Preparation to commit a felony,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Meru,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,35-44,Felony - Enhanced,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,25-34,D Felony,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Giriama,35-44,D Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Luo,25-34,Aggravated Misdemeanor,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Swahili,Under 25,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Giriama,35-44,Aggravated Misdemeanor,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Luo,25-34,Aggravated Misdemeanor,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Swahili,35-44,C Felony,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,Felony - Enhanced,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,35-44,D Felony,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Swahili,45-54,D Felony,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,Under 25,Aggravated Misdemeanor,Public Order,Being drunk and disorderly,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,25-34,Aggravated Misdemeanor,Public Order,Creating disturbance,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Public Order,Escape from lawful custody,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,45-54,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,25-34,D Felony,Public Order,Preparation to commit a felony,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Luo,Under 25,D Felony,Property,Vandalism,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2021.0,African-Kalenjin,45-54,C Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,45-54,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,45-54,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,Aggravated Misdemeanor,Public Order,Causing obstruction,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Meru,25-34,Aggravated Misdemeanor,Public Order,Creating disturbance,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,Aggravated Misdemeanor,Public Order,Driving a motor vehicle without PSV licence,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Giriama,35-44,D Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,45-54,C Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Kkuyu,45-54,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,45-54,Aggravated Misdemeanor,Public Order,Being in posession of alcoholic drinks,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,Aggravated Misdemeanor,Public Order,Causing obstruction,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Meru,35-44,Felony - Enhanced,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,C Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Swahili,25-34,D Felony,Property,Vandalism,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,35-44,Felony - Enhanced,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,Under 25,Aggravated Misdemeanor,Public Order,Being drunk and disorderly,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,35-44,Aggravated Misdemeanor,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,45-54,Aggravated Misdemeanor,Public Order,Being in posession of alcoholic drinks,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,35-44,Aggravated Misdemeanor,Property,Stealing,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,45-54,D Felony,Violent,Assault causing actual bodily harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,25-34,D Felony,Public Order,Trafficking in narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Luo,25-34,Aggravated Misdemeanor,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,45-54,Aggravated Misdemeanor,Public Order,Being in posession of alcoholic drinks,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,Under 25,Aggravated Misdemeanor,Public Order,Being drunk and disorderly,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,C Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Swahili,25-34,D Felony,Property,Vandalism,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,Under 25,Aggravated Misdemeanor,Public Order,Being drunk and disorderly,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,35-44,D Felony,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,Aggravated Misdemeanor,Public Order,Causing obstruction,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Giriama,55 and Older,Aggravated Misdemeanor,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2020.0,African-Luo,35-44,Aggravated Misdemeanor,Property,Obtaining money by false pretences,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Luo,Under 25,D Felony,Property,Vandalism,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2021.0,African-Kalenjin,25-34,Aggravated Misdemeanor,Public Order,Causing obstruction,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2019.0,2020.0,African-Luo,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,Under 25,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Meru,25-34,Aggravated Misdemeanor,Public Order,Creating disturbance,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Swahili,35-44,D Felony,Violent,Grievious harm,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2019.0,2021.0,African-Kalenjin,25-34,D Felony,Property,Malicious damage to property,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,2.0
2020.0,2021.0,African-Kkuyu,25-34,D Felony,Public Order,Trafficking in narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,25-34,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
2020.0,2021.0,African-Kkuyu,45-54,C Felony,Drug,Being in posession of narcotic drugs,Mombasa,Discharged End of Sentence,Discharged End of Sentence,Yes,1.0,1.0
